season,city,date,team1,team2,toss_winner,toss_decisions,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
2023,Mumbai,"April 8, 2023",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,normal,0,Chennai Super Kings,0,7,Ravindra Jadeja,Wankhede Stadium
2023,Ahmedabad,"April 9, 2023",Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Bat,normal,0,Kolkata Knight Riders,0,3,Rinku Singh,Narendra Modi Stadium
2023,Hyderabad,"April 9, 2023",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,normal,0,Sunrisers Hyderabad,0,8,Shikhar Dhawan,Rajiv Gandhi International Cricket Stadium
2023,Bengaluru,"April 10, 2023",Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,Field,normal,0,Lucknow Super Giants,0,1,Nicholas Pooran,M. Chinnaswamy Stadium
2023,Delhi,"April 11, 2023",Delhi Capitals,Mumbai Indians,Mumbai Indians,Field,normal,0,Mumbai Indians,0,6,Rohit Sharma,Arun Jaitley Stadium
2023,Chennai,"April 12, 2023",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Field,normal,0,Rajasthan Royals,3,0,Ravichandran Ashwin,M. A. Chidambaram Stadium
2023,Mohali,"April 13, 2023",Punjab Kings,Gujarat Titans,Gujarat Titans,Field,normal,0,Gujarat Titans,0,6,Mohit Sharma,Inderjit Singh Bindra Stadium
2023,Kolkata,"April 14, 2023",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,normal,0,Sunrisers Hyderabad,23,0,Harry Brook,Eden Gardens
2023,Bengaluru,"April 15, 2023",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Field,normal,0,Royal Challengers Bangalore,23,0,Virat Kohli,M. Chinnaswamy Stadium
2023,Lucknow,"April 15, 2023",Lucknow Super Giants,Punjab Kings,Punjab Kings,Field,normal,0,Punjab Kings,0,2,Sikandar Raza,BRSABV Ekana Cricket Stadium
2023,Mumbai,"April 16, 2023",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,normal,0,Mumbai Indians,0,5,Venkatesh Iyer,Wankhede Stadium
2023,Ahmedabad,"April 16, 2023",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Field,normal,0,Rajasthan Royals,0,3,Shimron Hetmyer,Narendra Modi Stadium
2023,Bengaluru,"April 17, 2023",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,normal,0,Chennai Super Kings,8,0,Devon Conway,M. Chinnaswamy Stadium
2023,Hyderabad,"April 18, 2023",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,normal,0,Mumbai Indians,14,0,Cameron Green,Rajiv Gandhi International Cricket Stadium
2023,Jaipur,"April 19, 2023",Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Field,normal,0,Lucknow Super Giants,10,0,Marcus Stoinis,Sawai Mansingh Stadium
2023,Mohali,"April 20, 2023",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Field,normal,0,Royal Challengers Bangalore,24,0,Mohammed Siraj,Inderjit Singh Bindra Stadium
2023,Delhi,"April 20, 2023",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,normal,0,Delhi Capitals,0,4,Ishant Sharma,Arun Jaitley Stadium
2023,Chennai,"April 21, 2023",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,normal,0,Chennai Super Kings,0,7,Ravindra Jadeja,M. A. Chidambaram Stadium
2023,Lucknow,"April 22, 2023",Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Bat,normal,0,Gujarat Titans,7,0,Mohit Sharma,BRSABV Ekana Cricket Stadium
2023,Mumbai,"April 22, 2023",Punjab Kings,Mumbai Indians,Mumbai Indians,Field,normal,0,Punjab Kings,13,0,Sam Curran,Wankhede Stadium
2023,Bengaluru,"April 23, 2023",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,normal,0,Royal Challengers Bangalore,7,0,Glenn Maxwell,M. Chinnaswamy Stadium
2023,Kolkata,"April 23, 2023",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,normal,0,Chennai Super Kings,49,0,Ajinkya Rahane,Eden Gardens
2023,Hyderabad,"April 24, 2023",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Bat,normal,0,Delhi Capitals,7,0,Axar Patel,Rajiv Gandhi International Cricket Stadium
2023,Ahmedabad,"April 25, 2023",Gujarat Titans,Mumbai Indians,Mumbai Indians,Field,normal,0,Gujarat Titans,55,0,Abhinav Manohar,Narendra Modi Stadium
2023,Bengaluru,"April 26, 2023",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,normal,0,Kolkata Knight Riders,21,0,Varun Chakravarthy,M. Chinnaswamy Stadium
2023,Jaipur,"April 27, 2023",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,normal,0,Rajasthan Royals,32,0,Yashasvi Jaiswal,Sawai Mansingh Stadium
2023,Mohali,"April 28, 2023",Lucknow Super Giants,Punjab Kings,Punjab Kings,Field,normal,0,Lucknow Super Giants,56,0,Marcus Stoinis,Inderjit Singh Bindra Stadium
